group,N,ln_order,max_cycle_ratio,cycle_count
Chaos-Henon,1024,19.97336150226636,0.59375,8
Chaos-Henon,1024,22.78230110467208,0.3564453125,10
Chaos-Henon,1024,22.48050516321064,0.2451171875,14
Chaos-Henon,1024,18.04269227188142,0.5029296875,8
Chaos-Henon,1024,16.457762778476052,0.4638671875,6
Chaos-Henon,1024,22.445711973345265,0.7744140625,10
Chaos-Henon,1024,11.041320554357519,0.8125,5
Chaos-Henon,1024,19.22490532758408,0.458984375,11
Chaos-Henon,1024,27.07741654896253,0.255859375,8
Chaos-Henon,1024,20.72672205732977,0.4765625,9
Chaos-Henon,1024,21.566179195868088,0.4462890625,8
Chaos-Henon,1024,22.77096429732815,0.6865234375,9
Chaos-Henon,1024,17.74652574471891,0.716796875,5
Chaos-Henon,1024,27.079642511246565,0.30859375,8
Chaos-Henon,1024,9.450459027496354,0.955078125,4
Chaos-Henon,1024,20.129148600191613,0.6220703125,11
Chaos-Henon,1024,11.317093046148326,0.5947265625,4
Chaos-Henon,1024,20.37267484816292,0.5927734375,9
Chaos-Henon,1024,18.181012534426163,0.8642578125,6
Chaos-Henon,1024,25.94090939423069,0.4072265625,8
Chaos-Henon,1024,20.082653343926594,0.7548828125,11
Chaos-Henon,1024,16.782012765237134,0.6787109375,10
Chaos-Henon,1024,16.852162101307126,0.724609375,6
Chaos-Henon,1024,22.32182645350799,0.53515625,10
Chaos-Henon,1024,15.184638414162254,0.671875,8
Chaos-Henon,1024,9.100971834920818,0.97265625,3
Chaos-Henon,1024,14.644673542441662,0.78515625,6
Chaos-Henon,1024,20.195861004483888,0.7548828125,7
Chaos-Henon,1024,21.632509234592288,0.5126953125,7
Chaos-Henon,1024,22.106936714741376,0.38671875,12
Chaos-Henon,1024,14.96337639548604,0.60546875,3
Chaos-Henon,1024,13.79173002929887,0.60546875,6
Chaos-Henon,1024,16.791191133206475,0.7744140625,9
Chaos-Henon,1024,17.75150747875741,0.8310546875,8
Chaos-Henon,1024,20.558446852584556,0.5126953125,8
Chaos-Henon,1024,26.722777253545644,0.5634765625,8
Chaos-Henon,1024,22.764249010414204,0.56640625,10
Chaos-Henon,1024,21.53525846993146,0.6904296875,7
Chaos-Henon,1024,15.479004744240306,0.8046875,6
Chaos-Henon,1024,14.770007642548215,0.9150390625,8
Chaos-Henon,1024,21.620929670691893,0.5146484375,7
Chaos-Henon,1024,13.650844619408806,0.9072265625,4
Chaos-Henon,1024,16.353096466247703,0.8271484375,6
Chaos-Henon,1024,21.779621289701513,0.3466796875,9
Chaos-Henon,1024,18.510291622641233,0.4677734375,5
Chaos-Henon,1024,15.960717368019504,0.8125,5
Chaos-Henon,1024,22.31420827778395,0.705078125,10
Chaos-Henon,1024,19.00075212242765,0.38671875,8
Chaos-Henon,1024,12.21063223478619,0.8681640625,5
Chaos-Henon,1024,18.406329171027046,0.8076171875,7
